state,year2020,year2022
Amazonas,9.224073772875357,26.968663667959643
Anzoátegui,17.15661238283377,9.557003132356447
Apure,23.255223861661232,50.48770471155271
Aragua,42.00690001447444,24.40813402575378
Barinas,3.2511046306574936,3.24747769456597
Bolívar,2.9119587192093763,5.681772083128146
Carabobo,11.997676504253118,6.427923962157312
Cojedes,88.47478177172378,60.84245459979799
Delta Amacuro,3.8002357324816547,38.99581209031318
Distrito Capital,0.0,0.0
Falcón,2.4850321856027278,0.0
Guárico,0.0,3.2703917093530066
Lara,8.572675425609942,20.611628088164593
Miranda,22.35403796425778,2.9836641055189697
Monagas,8.973492892249272,17.117949195000566
Mérida,6.920017925796637,2.57436788441315
Nueva Esparta,28.74785191169996,13.563788699417586
Portuguesa,13.435469302698769,26.27465226848551
Sucre,13.263114348374321,59.13009407831103
Trujillo,26.828221590231777,3.947980946791776
Táchira,29.692366140107314,62.13649127656272
Vargas,0.0,65.65072205186827
Yaracuy,21.03865744891386,42.5124017989847
Zulia,21.287907344650364,47.12738455156148
